Blue Bottle	17ft Ceiling Espresso		Effulgent, caramelly, enveloping, nutty	We developed this espresso blend for our café on Mint Plaza in downtown San Francisco. This is a pleasant, consistent espresso – enjoyable without being demanding – plump with unremarkable complexity. What is remarkable, however, is the sweet simplicity owing to the fact that we reverse-engineered a blue-collar Italian espresso blend (yes … robusta!) and substituted higher-end organic coffees. Our goal was a robust, crema-heavy, unpretentious coffee. If the Hayes Valley espresso can be like consuming a volume of In Search of Lost Time in liquid form, then the 17ft ceiling is like flipping through the New Yorker – edifying without being taxing. The baristas at the café updose massively, set the PID two or three degrees hotter than the Hayes Valley espresso (typically 202 F on the GB5), and pull leisurely, avuncular 35 second shots, often skipping the first few drops. Served with a water back, of course.
Blue Bottle	Bella Donovan	Ethiopia, Sumatra, Peru 	Heavy, comforting, deeply-fruited	The Bella is the wool sweater of our blends -- warm, comforting, familiar. Wild and citrusy organic African paired with earthy organic Indonesian makes for a vivid and fairly complex Moka/Java blend. It seems to weather the rigors of the automatic drip machine as well. This is, perhaps, why it's our most popular blend. It is also on the darker side: nice and thick without being inelegant. Bella stands up to milk or cream well, and is easily enjoyed black.
Blue Bottle	Brazil FAF Carmel Yellow Catuai Natural	Brazil	Toffee, pecan, vanilla	In the 12 years since Maria Angela Loguercio Bouskela and her two children purchased land in Brazil’s Minas Gerais region, their passion for agriculture and sustainability has transformed Carmel Vivá into a thriving farm. We were lucky enough to visit the family at their property last year. They’re very excited to be part of Blue Bottle’s coffee line-up, and we’re excited to introduce you to this sweet, subtly fruity coffee. This naturally-processed coffee has notes of caramel and vanilla that remind us of coming home from school as kids to a kitchen that smelled like freshly-baked cookies. It makes us feel like skipping the humdrum of homework to go jump rope or throw the Frisbee, until the streetlights come on and it’s time for dinner.
Blue Bottle	Colombia Huila El Playón	Colombia	Butterscotch, blood orange, bay leaf	Jesús Alberto Barrera, like many of his neighbors in Timaná, Huila, owns a small but fruitful coffee farm high up in the Andes Mountains. Growing the Caturra coffee variety, the rainy weather in Huila provides a nearly endless crop, so Jesús is harvesting coffee 10 months a year. El Playón will arm you for any adventure, whether it’s a weekend of camping with friends or a spontaneous road trip to see the world’s largest yo-yo (or whatever suits your fancy). Brew. Enjoy its butterscotch, blood orange, and bay leaf notes. Take on the world. Rinse your mug. Repeat.
Blue Bottle	Decaf Noir	Mexico, Sumatra	Versatile, incisive, vivid	A water process decaf that is vivid and packed with flavor, Decaf Noir is made from 100% organic water processed decaffeinated beans from Mexico and Sumatra. If you drink it strong, store it carefully and use it up quickly (buy a smaller amount and try to use it up in a week), you will be rewarded with very big flavors. The decaf Noir is surprisingly (some say freakishly) versatile: about the only preparation we don’t see consistently enjoyable results in is the siphon.
Blue Bottle	Giant Steps		Viscous, fudgy, substantial	A blend of organic coffee that is quite dark and chocolaty. Maybe a bit more one-dimensional than the Bella Donovan, but it is a good dimension. Giant Steps is delightfully fudgy and thick in a French press or drip pot, and stands up to cream quite well. If it were any heavier-bodied, you could pour it on pancakes.
Blue Bottle	Hayes Valley Espresso		Cocoa, orange zest, smoky finish	We developed this espresso over five years ago for the launch of our Kiosk on Linden Street. This is probably our darkest espresso: lower-toned, minimal brightness, plenty of chocolate – with an engaging complexity as a straight shot. The shots are gorgeous: achingly heavy with voluptuous red-brown crema, and the silky, somewhat dangerous-looking viscosity of a power-steering stop-leak product once used on our (now departed) heroically battered 1983 Peugeot. In milk, it tastes like chocolate ovaltine, and holds its own from the daintiest 3oz Macchiato to our towering 12oz caffe latte. This is the most Brahmsian espresso we have. Brooding and autumnal, it is a coffee to mourn the passing of time.
Blue Bottle	Honduras Santa Elena Jose Hernandez	Honduras	Cocoa, red apple, clean	Catracha is a community of smallholder farmers, established five years ago by Mayra Orellana-Powell, who wanted to support and showcase the coffee producers in the region of Honduras where she grew up. The plots of land in this area are relatively small, but the producers make up for the lack of volume with a focused dedication to quality. The result of their hard work is this sweet, clean coffee, with sublime notes of apple and cocoa.
Blue Bottle	Opascope Espresso		Fig, honey, floral, lime	What’s in a name? Well, we’ve always been fans of the opascope, a beautiful tool for projecting handwriting and finely rendered artwork onto a larger surface. We could blab for hours about its quaint design, its bulky contours, its place in our childhood classrooms. But for expediency’s sake, let’s put it this way: The opascope is a tool for taking careful craftsmanship and opening it up for everyone to access and enjoy. Sound familiar? Available only in the Bay Area and online, the three-component Opascope Espresso is a refreshing addition to a lineup once dominated by dense, chocolatey selections. It yields an effervescent shot, packed with stripes of tropicalia.
Blue Bottle	Rwanda Nyanza Kirezi	Rwanda	Apricot, tangerine, honey	Hailing from a 2000-member cooperative in the Nyanza district, Kirezi embodies pretty much everything we love about Rwandan coffees—in fact, we love it so much that we buy all of it. Since water is such a precious resource in the region, the co-op utilizes water-efficient technology and careful monitoring to ensure the coffee’s sustainability and superior quality.
